"ID","ИД"
"ID #","ИД #"
"Customer Id","ИД клиента"
"Store Id", "Номер магазина"
"Product Name", "Название товара"
"Magedoc - Like", "Магентадокс - Лайки"
"Products Likes", "Лайки Товаров"
"Product Id", "Ид Продукта"
"Customer Ip", "Ip Клиента"
"Created At", "Дата создания"
"Page", "Страница"
"View", "Отображать по"
"per page", "на странице"
"Total", "Всего"
"of %s pages","из %s страниц"
"Export to", "Экспортировать в"
"Likes", "Лайки"
"Choose Store View","Выберите представление магазина"
"Choose Store View:","Выберите представление магазина:"
"Total %d records found","Всего найдено записей с лайками %d"
"Export to:","Экспортировать в:"